,90d_global_clustering_coefficient
2006-05-12,0.03767645973859469
2006-05-15,0.033723614780258024
2006-05-16,0.017135440816229034
2006-05-17,0.05766106181963445
2006-05-18,0.08531829488664526
2006-05-19,0.07237878760856266
2006-05-22,0.04595048128280669
2006-05-23,0.09866708287329379
2006-05-24,0.08961416681559153
2006-05-25,0.044129151875922965
2006-05-26,0.04409346389059786
2006-05-30,0.0870194177959343
2006-05-31,0.04644288482364489
2006-06-01,0.0
2006-06-02,0.04587170052632176
2006-06-05,0.07357548145689757
2006-06-06,0.11827479557063719
2006-06-07,0.14578738444979514
2006-06-08,0.1518787848706257
2006-06-09,0.22011832943060272
2006-06-12,0.21591606457507204
2006-06-13,0.2054229288651482
2006-06-14,0.20514758286716278
2006-06-15,0.21069247945742042
2006-06-16,0.21496023928530616
2006-06-19,0.18685700210497666
2006-06-20,0.18506304205667914
2006-06-21,0.17687392732236995
2006-06-22,0.17358854512757949
2006-06-23,0.19859149254939024
2006-06-26,0.1417871825643925
2006-06-27,0.14539118602274684
2006-06-28,0.13032371483650038
2006-06-29,0.1250076879509672
2006-06-30,0.16042985052811082
2006-07-03,0.12900553261556685
2006-07-05,0.18646231159856388
2006-07-06,0.18410995005825315
2006-07-07,0.13714536827367696
2006-07-10,0.15193198835254357
2006-07-11,0.19825882709996703
2006-07-12,0.20163387523121526
2006-07-13,0.24593140700785637
2006-07-14,0.2421492447020464
2006-07-17,0.2591023876464095
2006-07-18,0.23787672721048395
2006-07-19,0.22978059990833546
2006-07-20,0.26017230151186566
2006-07-21,0.25266503768697174
2006-07-24,0.24953540903775287
2006-07-25,0.2501046674905764
2006-07-26,0.26624603528490637
2006-07-27,0.27122060815503957
2006-07-28,0.27661304037788137
2006-07-31,0.2648597042035992
2006-08-01,0.2899177249246183
2006-08-02,0.28721286965294274
2006-08-03,0.3026414002718151
2006-08-04,0.2974637443347888
2006-08-07,0.32096199236512946
2006-08-08,0.32880162989924205
2006-08-09,0.31218525733416425
2006-08-10,0.2911564422735997
2006-08-11,0.319873091903449
2006-08-14,0.316215406501271
2006-08-15,0.3623570157415721
2006-08-16,0.3374529125821743
2006-08-17,0.32518942095305625
2006-08-18,0.3266330096377905
2006-08-21,0.3202898467087909
2006-08-22,0.3292699307209507
2006-08-23,0.3317828013421682
2006-08-24,0.32829960448077655
2006-08-25,0.31748495590392545
2006-08-28,0.3102974733122625
2006-08-29,0.29505623029066197
2006-08-30,0.2770629895942445
2006-08-31,0.28379229567797715
2006-09-01,0.2855673960503423
2006-09-05,0.2923021238723012
2006-09-06,0.3227960206743447
2006-09-07,0.308066239104339
2006-09-08,0.2959226085209877
2006-09-11,0.32309360119266256
2006-09-12,0.32641209863398946
2006-09-13,0.325806745820375
2006-09-14,0.3271231169653171
2006-09-15,0.3312771045302871
2006-09-18,0.3353239207995242
2006-09-19,0.31426401787408514
2006-09-20,0.31501520912024694
2006-09-21,0.321515496561662
2006-09-22,0.32191465132627844
2006-09-25,0.315603301375107
2006-09-26,0.31578303398994306
2006-09-27,0.3274194808955374
