,90d_global_clustering_coefficient
2006-05-12,0.17909382259178752
2006-05-15,0.17910800402227114
2006-05-16,0.17911688614167748
2006-05-17,0.1790830774952261
2006-05-18,0.17907764011631255
2006-05-19,0.17907239352485818
2006-05-22,0.17906690365157266
2006-05-23,0.17905705555426532
2006-05-24,0.1790650215269936
2006-05-25,0.17907953990499517
2006-05-26,0.1790779230262655
2006-05-30,0.17902146733682306
2006-05-31,0.17906464458522
2006-06-01,0.17904466472679312
2006-06-02,0.17904886579105903
2006-06-05,0.17899420913937789
2006-06-06,0.1789930340819289
2006-06-07,0.1790035774921495
2006-06-08,0.17898491233081348
2006-06-09,0.17897522941778787
2006-06-12,0.17894898419211108
2006-06-13,0.1789111660259328
2006-06-14,0.17895584700034095
2006-06-15,0.17891882494770894
2006-06-16,0.1789263898125368
2006-06-19,0.17893167758819575
2006-06-20,0.17895030415809107
2006-06-21,0.1789405426624102
2006-06-22,0.17894459100070806
2006-06-23,0.17895153069959086
2006-06-26,0.17897190431077542
2006-06-27,0.17900314606518491
2006-06-28,0.17903178361691025
2006-06-29,0.17902165090431219
2006-06-30,0.1790046873309553
2006-07-03,0.17901900813246804
2006-07-05,0.17902555122566136
2006-07-06,0.17902201609182192
2006-07-07,0.17900696573908043
2006-07-10,0.17898899587811967
2006-07-11,0.17897151332081435
2006-07-12,0.17896863850268643
2006-07-13,0.17892934870842742
2006-07-14,0.17890581097038147
2006-07-17,0.17890899101366475
2006-07-18,0.17890299447157376
2006-07-19,0.17887582671020816
2006-07-20,0.17888531257260723
2006-07-21,0.17888985621853898
2006-07-24,0.1788625149344741
2006-07-25,0.17884304817629104
2006-07-26,0.17886969219040727
2006-07-27,0.17885440820402784
2006-07-28,0.17881898123287243
2006-07-31,0.178817610419929
2006-08-01,0.17882871811735834
2006-08-02,0.1788264197611569
2006-08-03,0.17882272448545664
2006-08-04,0.1788157034647033
2006-08-07,0.17881715410514548
2006-08-08,0.1787876572920702
2006-08-09,0.1787954009283404
2006-08-10,0.1787876707192423
2006-08-11,0.1788028957513816
2006-08-14,0.17881080639755106
2006-08-15,0.1787716617551213
2006-08-16,0.17869606823758544
2006-08-17,0.17866547878893185
