,30d_global_clustering_coefficient
2006-02-15,0.4572551407531432
2006-02-16,0.463637017778953
2006-02-17,0.4674278257927996
2006-02-21,0.4605556641935569
2006-02-22,0.4717231690123617
2006-02-23,0.46333999619377697
2006-02-24,0.48678612028300305
2006-02-27,0.48836859005098826
2006-02-28,0.4828202251416851
2006-03-01,0.4860061311638091
2006-03-02,0.5037797823724285
2006-03-03,0.510451659883424
2006-03-06,0.448456076470431
2006-03-07,0.41086474386833244
2006-03-08,0.4247098604889595
2006-03-09,0.4298038768234798
2006-03-10,0.40641752902431993
2006-03-13,0.4029163242893777
2006-03-14,0.4151056137875215
2006-03-15,0.4227123971388149
2006-03-16,0.431554286865028
2006-03-17,0.41010226773004005
2006-03-20,0.43009766396713023
2006-03-21,0.44261722933087905
2006-03-22,0.43843298466593633
2006-03-23,0.4637525349363336
2006-03-24,0.4562422080848605
2006-03-27,0.47279378824373486
2006-03-28,0.4759895885450064
2006-03-29,0.4436640599355646
2006-03-30,0.4443328868975745
2006-03-31,0.4411804483445828
2006-04-03,0.4353109046977897
2006-04-04,0.4363541898628947
2006-04-05,0.4455974912937722
2006-04-06,0.4477574703133545
2006-04-07,0.46091438776740334
2006-04-10,0.4729807309839079
2006-04-11,0.47908858147976924
2006-04-12,0.4805118673997974
2006-04-13,0.4691563036964756
2006-04-17,0.4442990250370628
2006-04-18,0.45726774340618376
2006-04-19,0.47667232149590283
2006-04-20,0.4755891930112498
2006-04-21,0.5058641558109795
2006-04-24,0.5046638612069694
2006-04-25,0.5071938739987846
2006-04-26,0.49330648951536343
2006-04-27,0.5099346631647951
2006-04-28,0.509390079732872
2006-05-01,0.5151880242898744
2006-05-02,0.5089041099571896
2006-05-03,0.48256158922632786
2006-05-04,0.4634330892619557
2006-05-05,0.4304964220341143
2006-05-08,0.40684945782435106
2006-05-09,0.37964758788774494
2006-05-10,0.3909623969575911
2006-05-11,0.41471725695358547
2006-05-12,0.42354720885715447
2006-05-15,0.4295568334788739
2006-05-16,0.42403198777152673
2006-05-17,0.45467780504459143
2006-05-18,0.46441204211140996
2006-05-19,0.4747709109644293
2006-05-22,0.4427124907035685
2006-05-23,0.4480951031631045
2006-05-24,0.44574285161292926
2006-05-25,0.44342481251330157
2006-05-26,0.44997188045851993
2006-05-30,0.47366468633391556
2006-05-31,0.48460442626067535
2006-06-01,0.47393587017617766
2006-06-02,0.467998686989973
2006-06-05,0.5019056317192742
2006-06-06,0.5206431310785182
2006-06-07,0.5250140092351707
2006-06-08,0.5420751916726599
2006-06-09,0.5355597533226403
2006-06-12,0.546938007697854
2006-06-13,0.567249148155757
2006-06-14,0.5824597501290596
2006-06-15,0.6094376555657918
2006-06-16,0.6482344239200993
2006-06-19,0.6319177866476985
2006-06-20,0.6218848331492787
2006-06-21,0.6288171907652288
2006-06-22,0.6310546527839018
2006-06-23,0.626908823371622
2006-06-26,0.616063372762423
2006-06-27,0.6110623405858168
2006-06-28,0.606488543639473
2006-06-29,0.6113606237873473
2006-06-30,0.630152930626159
2006-07-03,0.6281397147396708
2006-07-05,0.62682293186939
2006-07-06,0.6243793987970059
2006-07-07,0.6281440553861187
2006-07-10,0.6258786119960128
2006-07-11,0.6198285157022392
2006-07-12,0.6121643866866482
2006-07-13,0.6316399832214313
2006-07-14,0.6174101954764235
2006-07-17,0.6109766663790605
2006-07-18,0.5958818706734769
2006-07-19,0.6075631751143398
2006-07-20,0.6208804812535867
2006-07-21,0.620218513950991
2006-07-24,0.6262823566930774
2006-07-25,0.609868484475737
2006-07-26,0.5970512812079428
2006-07-27,0.5978460045505556
2006-07-28,0.60649342619963
2006-07-31,0.6264741285048765
2006-08-01,0.6267987456780767
2006-08-02,0.6112895134127505
2006-08-03,0.6260733369258359
2006-08-04,0.6297501717108985
2006-08-07,0.6347774358427548
2006-08-08,0.6280019270324433
2006-08-09,0.610642320537739
2006-08-10,0.6290814039006799
2006-08-11,0.6056153595157027
2006-08-14,0.5977920747769089
2006-08-15,0.5933683080790314
2006-08-16,0.5724008373711117
2006-08-17,0.56566937335614
2006-08-18,0.5597350474330924
2006-08-21,0.5548356080532832
2006-08-22,0.5590569421074688
2006-08-23,0.5696545029940429
2006-08-24,0.5235648757386575
2006-08-25,0.5111046530343311
2006-08-28,0.5195211392644752
2006-08-29,0.5148989104841224
2006-08-30,0.512943530779536
2006-08-31,0.5151605431328352
2006-09-01,0.5164544775179472
2006-09-05,0.5091871866350589
2006-09-06,0.517306781282184
2006-09-07,0.5213063681093055
2006-09-08,0.5472769576106287
2006-09-11,0.532057711387229
2006-09-12,0.5270940479856258
2006-09-13,0.5035977439417517
2006-09-14,0.50779066633573
2006-09-15,0.504659357290421
2006-09-18,0.4908221538364172
2006-09-19,0.48230579271107626
2006-09-20,0.4761871946342729
2006-09-21,0.49962801187771955
2006-09-22,0.4562791450763436
2006-09-25,0.4489798314444203
2006-09-26,0.4424854273875837
2006-09-27,0.4420600878158731
2006-09-28,0.4273438181933044
2006-09-29,0.4401056782249344
2006-10-02,0.45295246065544204
2006-10-03,0.4512165996162938
2006-10-04,0.4365154317214069
2006-10-05,0.43361991387404974
2006-10-06,0.43862356654427104
2006-10-09,0.43181433608917924
2006-10-10,0.42828169179547326
2006-10-11,0.42699957659951937
2006-10-12,0.45630692520442706
2006-10-13,0.4380185922472004
2006-10-16,0.4137740610382122
2006-10-17,0.40581727158542863
2006-10-18,0.41674963096026824
2006-10-19,0.3996430151382631
2006-10-20,0.38868472695176204
2006-10-23,0.3959033783326369
2006-10-24,0.39199488894955886
2006-10-25,0.3991998311183761
2006-10-26,0.3729274631045006
2006-10-27,0.38600015201835436
2006-10-30,0.3928391257029301
2006-10-31,0.41328368952230493
2006-11-01,0.3917724455236993
2006-11-02,0.43826083652923903
2006-11-03,0.4356702969633474
2006-11-06,0.4217566929048015
2006-11-07,0.41100070899439994
2006-11-08,0.4163102398702023
2006-11-09,0.40691374669120467
2006-11-10,0.4038221698126733
2006-11-13,0.39824006390128663
2006-11-14,0.3896707336769075
2006-11-15,0.4046922853438048
2006-11-16,0.38121597661542267
2006-11-17,0.3915245356643509
2006-11-20,0.38318484413318765
2006-11-21,0.4034951856934063
2006-11-22,0.402098052412477
2006-11-24,0.4137816360201764
2006-11-27,0.432787267949434
2006-11-28,0.46047092195495753
2006-11-29,0.46733075979729166
2006-11-30,0.44689802003697
2006-12-01,0.4577397017349514
2006-12-04,0.49131957213929955
2006-12-05,0.49777288361364813
2006-12-06,0.501552736769739
2006-12-07,0.4812899323633363
2006-12-08,0.4922790033587337
2006-12-11,0.5100215057729646
2006-12-12,0.5172143504616201
2006-12-13,0.5341562359732864
2006-12-14,0.48709346926920793
2006-12-15,0.46002691865051537
2006-12-18,0.44607198465345826
2006-12-19,0.44786996624298125
2006-12-20,0.4194194818007608
2006-12-21,0.41025308451321746
2006-12-22,0.45168902613182915
2006-12-26,0.47634189856391823
2006-12-27,0.48500843937347493
2006-12-28,0.48774159573937725
2006-12-29,0.49503014304127035
2007-01-03,0.47601901999431584
2007-01-04,0.45660694233033944
2007-01-05,0.45959308827813533
2007-01-08,0.4637348686345917
2007-01-09,0.46717597897983143
2007-01-10,0.49571110764294235
2007-01-11,0.4723681481777473
2007-01-12,0.38914302512273613
2007-01-16,0.3782752267286305
2007-01-17,0.3612932575347583
2007-01-18,0.35318391443212704
2007-01-19,0.3560794059896734
2007-01-22,0.3604469698082776
2007-01-23,0.3497290533465434
2007-01-24,0.3726345327713805
2007-01-25,0.38495761925793204
2007-01-26,0.38522225742120947
2007-01-29,0.3715973586823134
2007-01-30,0.33221930827581664
2007-01-31,0.3600335435069598
2007-02-01,0.36504765179080756
2007-02-02,0.36584243646670794
2007-02-05,0.37905566462883644
2007-02-06,0.38575032678340077
2007-02-07,0.3976897954409692
2007-02-08,0.35525065995998456
2007-02-09,0.3565073578843661
2007-02-12,0.30830302863867876
2007-02-13,0.3204608813475729
2007-02-14,0.3417469858978535
2007-02-15,0.36580683786954327
2007-02-16,0.35625174430633416
2007-02-20,0.36758645352958785
2007-02-21,0.34175544988660606
2007-02-22,0.3442418209060426
2007-02-23,0.35631031495059634
2007-02-26,0.3331892920531554
2007-02-27,0.5315420586492172
2007-02-28,0.5618883506494917
2007-03-01,0.5709578045725842
2007-03-02,0.6008718644641123
2007-03-05,0.6262738284090295
2007-03-06,0.6340949612958446
2007-03-07,0.6460672689005993
2007-03-08,0.6521505659343904
2007-03-09,0.6560885503830968
2007-03-12,0.6694634973918252
2007-03-13,0.6758897338628721
2007-03-14,0.7032256392215818
2007-03-15,0.7164330460658198
2007-03-16,0.7139207787774203
2007-03-19,0.7274318093106279
2007-03-20,0.7255336712272028
2007-03-21,0.7239244394511658
2007-03-22,0.7204697507234282
2007-03-23,0.7071867433296498
2007-03-26,0.7260839939466941
2007-03-27,0.7390678533018343
2007-03-28,0.7365053388365392
2007-03-29,0.7072185388334281
2007-03-30,0.7112564024467113
2007-04-02,0.6970147817682075
2007-04-03,0.7095189093982477
2007-04-04,0.7108890548369707
2007-04-05,0.7115305614236703
2007-04-09,0.7142771204045024
2007-04-10,0.7178118518697556
2007-04-11,0.6564098690196706
2007-04-12,0.636868986808228
2007-04-13,0.6327445137789117
2007-04-16,0.6134289037823193
2007-04-17,0.5982914003832146
2007-04-18,0.5677708026283621
2007-04-19,0.5720479631853601
2007-04-20,0.5814586575800094
2007-04-23,0.5825746677062583
2007-04-24,0.5685740066562085
2007-04-25,0.5437161982197241
2007-04-26,0.546069714596156
2007-04-27,0.505596792955958
2007-04-30,0.4994630763849311
2007-05-01,0.5005037794316433
2007-05-02,0.5004709081787231
2007-05-03,0.48981701025766355
2007-05-04,0.47058308389139425
2007-05-07,0.4615988948645309
2007-05-08,0.46047318726685293
2007-05-09,0.43339534602518975
2007-05-10,0.42619716300727195
2007-05-11,0.42094307724356034
2007-05-14,0.42668710344563837
2007-05-15,0.42504751929007845
2007-05-16,0.42714389551727094
2007-05-17,0.4332787977274536
2007-05-18,0.43040520965769613
2007-05-21,0.41959381082961433
2007-05-22,0.4240970895998247
2007-05-23,0.4224742883252113
2007-05-24,0.4088196759238387
2007-05-25,0.4013169096692998
2007-05-29,0.38615786427985677
2007-05-30,0.36451962474888683
2007-05-31,0.42573358238578285
2007-06-01,0.39593468500821716
2007-06-04,0.35520526146836157
2007-06-05,0.4008049737069535
2007-06-06,0.39291823013554084
2007-06-07,0.4820674545499642
2007-06-08,0.48908906442404987
2007-06-11,0.5153856476850599
2007-06-12,0.5142075010025382
2007-06-13,0.5336924124658079
2007-06-14,0.5370000050566085
2007-06-15,0.5441825923094048
2007-06-18,0.5509548853767604
2007-06-19,0.5579740778114339
2007-06-20,0.5572007534991198
2007-06-21,0.5622552539825626
2007-06-22,0.5661669466500857
