,60d_global_clustering_coefficient
2006-03-30,0.8303052831152721
2006-03-31,0.8330471738586958
2006-04-03,0.8293163704397392
2006-04-04,0.8267300485623779
2006-04-05,0.8269491611634749
2006-04-06,0.8370729108536025
2006-04-07,0.8249371151038357
2006-04-10,0.8279655036218941
2006-04-11,0.8290097862431521
2006-04-12,0.8296496743908474
2006-04-13,0.8302280277873857
2006-04-17,0.8294846426497672
2006-04-18,0.8293945431496261
2006-04-19,0.8317867949186177
2006-04-20,0.8352028832582675
2006-04-21,0.8365464358103183
2006-04-24,0.839218287149683
2006-04-25,0.8370776274981474
2006-04-26,0.8332934969447381
2006-04-27,0.8288144977166781
2006-04-28,0.8303155784289467
2006-05-01,0.8310294860031765
2006-05-02,0.8329082339123721
2006-05-03,0.8369015591854168
2006-05-04,0.8408134712583519
2006-05-05,0.8412959128646798
2006-05-08,0.8336272835806108
2006-05-09,0.8330719205209105
2006-05-10,0.8314903683797623
2006-05-11,0.8369322746226165
2006-05-12,0.820260514892511
2006-05-15,0.8290002261484457
2006-05-16,0.8140347676241506
2006-05-17,0.8170290837242983
2006-05-18,0.8178021938103051
2006-05-19,0.8170331542600962
2006-05-22,0.8199259310450976
2006-05-23,0.8135573955558083
2006-05-24,0.8110621391277719
2006-05-25,0.808782859763214
2006-05-26,0.8052922776593674
2006-05-30,0.8004611415752355
2006-05-31,0.7942289009905475
2006-06-01,0.7910487490098477
2006-06-02,0.7906243200148347
2006-06-05,0.7827743812364651
2006-06-06,0.7787540121298628
2006-06-07,0.7793585601764055
2006-06-08,0.780237161268632
2006-06-09,0.7756850220247921
2006-06-12,0.7724126991624936
2006-06-13,0.7714238724001083
2006-06-14,0.7703946354823943
2006-06-15,0.7568105489991444
2006-06-16,0.752895356818184
2006-06-19,0.7529001501605102
2006-06-20,0.7514847259380079
2006-06-21,0.7540932121311926
2006-06-22,0.7603359966082593
2006-06-23,0.7564289971854314
2006-06-26,0.7559487023710696
2006-06-27,0.7569040448224008
2006-06-28,0.7602326456798901
2006-06-29,0.7489258380147303
2006-06-30,0.7433236044542819
2006-07-03,0.7384459390652094
2006-07-05,0.7364717091811217
2006-07-06,0.7462988128347385
2006-07-07,0.7456573183006698
2006-07-10,0.7394274952791086
2006-07-11,0.7381122073776448
2006-07-12,0.7395851289039939
2006-07-13,0.7342339565509748
2006-07-14,0.7378329843602275
2006-07-17,0.7433341580012809
2006-07-18,0.7388106142552203
2006-07-19,0.7209601187910999
2006-07-20,0.7190445390322885
2006-07-21,0.7168240682160478
2006-07-24,0.7127011272165654
2006-07-25,0.7115086786715944
2006-07-26,0.7197655112301041
2006-07-27,0.7305753357688104
2006-07-28,0.7161949730774835
2006-07-31,0.7027246804471398
2006-08-01,0.7025483778002856
2006-08-02,0.7051939342383955
2006-08-03,0.711940452902638
2006-08-04,0.7122698961877323
2006-08-07,0.7131386499264228
2006-08-08,0.7255136867770456
2006-08-09,0.7426097688362877
2006-08-10,0.7350874149661349
2006-08-11,0.7513934457993247
2006-08-14,0.7510959326442447
2006-08-15,0.7511276482486055
2006-08-16,0.743670033924467
2006-08-17,0.7297787693081228
2006-08-18,0.7367169803535238
2006-08-21,0.7468476178298
2006-08-22,0.74805820503364
2006-08-23,0.7478719851886136
2006-08-24,0.7415766598717802
2006-08-25,0.743247314062493
2006-08-28,0.7373462838087629
2006-08-29,0.740235308458478
2006-08-30,0.7475620711774149
2006-08-31,0.7456860852787215
2006-09-01,0.7408950362396772
2006-09-05,0.7426741594667216
2006-09-06,0.7496506399011357
2006-09-07,0.7578049336402823
2006-09-08,0.7584966319790466
2006-09-11,0.7735749852219699
2006-09-12,0.7684490161819582
2006-09-13,0.7678082139390384
2006-09-14,0.7715949296332755
2006-09-15,0.774452126951205
2006-09-18,0.7739253544828852
2006-09-19,0.7677898757377905
2006-09-20,0.7699439683735662
2006-09-21,0.7698089199726316
2006-09-22,0.770046744885464
2006-09-25,0.7849175299895534
2006-09-26,0.78276939341847
2006-09-27,0.7801621023781499
2006-09-28,0.7793648466104044
2006-09-29,0.7788758085047741
2006-10-02,0.7785109311825369
2006-10-03,0.7822988760166341
2006-10-04,0.7799354786282163
2006-10-05,0.7800275992152879
2006-10-06,0.792350154201882
2006-10-09,0.8023852724672997
2006-10-10,0.8050095642339827
2006-10-11,0.7993440938160093
2006-10-12,0.8109127092925111
2006-10-13,0.8200104144608951
2006-10-16,0.8233297931053044
2006-10-17,0.8097851773984589
2006-10-18,0.8095847223842183
2006-10-19,0.8143984550870472
2006-10-20,0.8151549890387442
2006-10-23,0.8134977108814186
2006-10-24,0.8157097997312953
2006-10-25,0.8200210911328197
2006-10-26,0.8243817963595883
2006-10-27,0.8221690081058778
2006-10-30,0.8055995385778354
2006-10-31,0.8087605076715353
2006-11-01,0.8097067980721149
2006-11-02,0.8028262118239473
2006-11-03,0.8094446808437787
2006-11-06,0.8067575242244591
2006-11-07,0.8104535011583889
2006-11-08,0.8134740643434221
2006-11-09,0.8183978734771862
2006-11-10,0.8177088970518631
2006-11-13,0.8152318749675219
2006-11-14,0.8149852751937051
2006-11-15,0.8160991668795605
2006-11-16,0.8190561848821328
2006-11-17,0.8156978257455471
2006-11-20,0.8195391672767778
2006-11-21,0.8243038945994062
2006-11-22,0.82811193026969
2006-11-24,0.8284442221778883
2006-11-27,0.8228787467419536
2006-11-28,0.8177947621977727
2006-11-29,0.8163731060353904
2006-11-30,0.8239015032519913
2006-12-01,0.8167482538238533
2006-12-04,0.8169264690945834
2006-12-05,0.8214679323949867
2006-12-06,0.8221770286856945
