,90d_global_clustering_coefficient
2006-05-12,0.4443096247854643
2006-05-15,0.4409833124095131
2006-05-16,0.4430144061807917
2006-05-17,0.44697801630863215
2006-05-18,0.4443041182460032
2006-05-19,0.44628119515718545
2006-05-22,0.45169240486279555
2006-05-23,0.45098160757559574
2006-05-24,0.4478325989173778
2006-05-25,0.4482455240998241
2006-05-26,0.44817809169007883
2006-05-30,0.45395154046647035
2006-05-31,0.4493337439005154
2006-06-01,0.44703100630627446
2006-06-02,0.4482632296513262
2006-06-05,0.4550591830736579
2006-06-06,0.4572658434649555
2006-06-07,0.4478543893929707
2006-06-08,0.44542279980028565
2006-06-09,0.44835861504483393
2006-06-12,0.4528466857953988
2006-06-13,0.45706333905609464
2006-06-14,0.45520735799567624
2006-06-15,0.4595929246259914
2006-06-16,0.463145448466504
2006-06-19,0.46103703412184804
2006-06-20,0.46116077658435406
2006-06-21,0.46371374962896944
2006-06-22,0.4650289809318449
2006-06-23,0.46034247711404824
2006-06-26,0.4585429974653551
2006-06-27,0.457606146924744
2006-06-28,0.459217551779835
2006-06-29,0.466710149731745
2006-06-30,0.47379608893733877
2006-07-03,0.4764353667034472
2006-07-05,0.47940817156063137
2006-07-06,0.47858303653006795
2006-07-07,0.4796945555336846
2006-07-10,0.4785969076447751
2006-07-11,0.4752786984882302
2006-07-12,0.4726763835496349
2006-07-13,0.4824336276185364
2006-07-14,0.4835485390988594
2006-07-17,0.4824450806326316
2006-07-18,0.48173294474717
2006-07-19,0.4887469440241173
2006-07-20,0.4901748940848371
2006-07-21,0.48991146799805974
2006-07-24,0.49315887151009763
2006-07-25,0.4945331769405009
2006-07-26,0.49363884379828316
2006-07-27,0.49453729454567524
2006-07-28,0.500698134450619
2006-07-31,0.5065188463763016
2006-08-01,0.505914798974621
2006-08-02,0.5038086402883658
2006-08-03,0.5003433451246291
2006-08-04,0.501316536116829
2006-08-07,0.5026755845042383
2006-08-08,0.5025705896802575
2006-08-09,0.5010147814705196
2006-08-10,0.5031202276669058
2006-08-11,0.5032504196773435
2006-08-14,0.5052083803939691
2006-08-15,0.509577532999481
2006-08-16,0.5072562125413453
2006-08-17,0.5036888398268973
2006-08-18,0.5009642285413876
2006-08-21,0.503458127186437
2006-08-22,0.5120815624042743
2006-08-23,0.5137418101970788
2006-08-24,0.5131277455424814
2006-08-25,0.5101841296721922
2006-08-28,0.5055008450920627
2006-08-29,0.5051546955716344
2006-08-30,0.502181990803092
2006-08-31,0.5036924454761975
2006-09-01,0.5054289310348081
2006-09-05,0.5127966123766173
2006-09-06,0.5164836803215656
2006-09-07,0.5200685074645821
2006-09-08,0.523620560279924
2006-09-11,0.5220834346282742
2006-09-12,0.5238661457158921
2006-09-13,0.5194169192885593
2006-09-14,0.5185881712520414
2006-09-15,0.5210959973445387
2006-09-18,0.5199304979224002
2006-09-19,0.5168707532323101
2006-09-20,0.5131978509682462
2006-09-21,0.5151714436039725
2006-09-22,0.5139384476379053
2006-09-25,0.5111392683858335
2006-09-26,0.511325165451745
2006-09-27,0.50820669199291
2006-09-28,0.5048539504603814
2006-09-29,0.508071530565951
2006-10-02,0.5112454003135841
2006-10-03,0.5097042670111084
2006-10-04,0.5088901712677735
2006-10-05,0.5037352746950337
2006-10-06,0.5023492306087821
2006-10-09,0.4980988803669478
2006-10-10,0.4972550622240133
2006-10-11,0.49215601797280734
2006-10-12,0.49198296006658
2006-10-13,0.49278435096508927
2006-10-16,0.4913802195727421
2006-10-17,0.4919521003189733
2006-10-18,0.4844976099871357
2006-10-19,0.47929971704753804
2006-10-20,0.4806299826343709
2006-10-23,0.47548710796809857
2006-10-24,0.4753764490787282
2006-10-25,0.4785425767611643
2006-10-26,0.4760765129196627
2006-10-27,0.4758833017701212
2006-10-30,0.47230810175450477
2006-10-31,0.47003722325546726
2006-11-01,0.4705275249904598
2006-11-02,0.47409944531685994
2006-11-03,0.47063191610469646
2006-11-06,0.4654133097753579
2006-11-07,0.46534987253230875
2006-11-08,0.465687475405956
2006-11-09,0.4592485509019809
2006-11-10,0.46319771970940304
2006-11-13,0.4616396062292837
2006-11-14,0.4637551738908379
2006-11-15,0.4657021074963659
2006-11-16,0.4632306884549961
2006-11-17,0.4514867606580176
2006-11-20,0.4484821520150828
2006-11-21,0.44804364857933604
2006-11-22,0.4489894010195459
2006-11-24,0.4431865378612188
2006-11-27,0.4488522975907026
2006-11-28,0.4530540644392208
2006-11-29,0.4509897004490632
2006-11-30,0.44957387123108844
2006-12-01,0.4539382728565442
2006-12-04,0.45554250718321027
2006-12-05,0.44808122072670936
2006-12-06,0.4462354762254789
2006-12-07,0.44352145166792356
2006-12-08,0.44560441726277006
2006-12-11,0.4459388345814152
2006-12-12,0.4458612782187214
2006-12-13,0.4447969452265675
2006-12-14,0.4431747394189863
2006-12-15,0.44446030044273027
2006-12-18,0.4372471470580337
2006-12-19,0.4359686844416772
2006-12-20,0.43391780931740936
2006-12-21,0.43092621007395976
2006-12-22,0.43484414767429275
2006-12-26,0.43754563794604445
2006-12-27,0.43979040228433663
2006-12-28,0.4381269938611056
2006-12-29,0.43250143222981724
2007-01-03,0.42683999062738226
2007-01-04,0.42325779511810413
2007-01-05,0.4240818012225218
2007-01-08,0.4247431496916008
2007-01-09,0.4276614915430935
2007-01-10,0.4296408865404005
2007-01-11,0.43163372097882907
2007-01-12,0.4290292425953475
2007-01-16,0.4238830349603095
2007-01-17,0.4221619865606754
2007-01-18,0.4220050086211549
2007-01-19,0.4195916160990836
2007-01-22,0.42333226386937567
2007-01-23,0.42245515084796753
