,90d_global_clustering_coefficient
2006-05-12,0.17915659322553534
2006-05-15,0.17916920615700244
2006-05-16,0.17917670324569243
2006-05-17,0.17914657875678205
2006-05-18,0.17914148982808437
2006-05-19,0.1791371434076772
2006-05-22,0.17913218015375684
2006-05-23,0.1791233018216337
2006-05-24,0.17913035240271818
2006-05-25,0.1791436297270867
2006-05-26,0.1791423269505851
2006-05-30,0.1790918573985984
2006-05-31,0.1791299340796577
2006-06-01,0.1791128515580886
2006-06-02,0.17911635301673276
2006-06-05,0.17906813405889022
2006-06-06,0.17906723867248428
2006-06-07,0.17907644501981207
2006-06-08,0.17905990796526036
2006-06-09,0.17905175838799187
2006-06-12,0.17902941165840622
2006-06-13,0.17899720177167566
2006-06-14,0.17903702216127282
2006-06-15,0.17900298756606037
2006-06-16,0.17900902249695974
2006-06-19,0.17901388596055215
2006-06-20,0.17902986489775177
2006-06-21,0.17902098903297098
2006-06-22,0.17902438099993892
2006-06-23,0.17903054649343772
2006-06-26,0.17904840855821766
2006-06-27,0.17907638731053618
2006-06-28,0.17910151443376862
2006-06-29,0.17909171452604478
2006-06-30,0.17907582674038702
2006-07-03,0.17908826371669836
2006-07-05,0.1790938672620712
2006-07-06,0.17909089920823465
2006-07-07,0.1790765055629956
2006-07-10,0.1790601500313341
2006-07-11,0.17904428452444685
2006-07-12,0.1790414397965554
2006-07-13,0.17900604664363992
2006-07-14,0.17898609737091203
2006-07-17,0.17898904812020633
2006-07-18,0.1789832374218361
2006-07-19,0.17896045071611788
2006-07-20,0.17897040018054797
2006-07-21,0.17897450413856156
2006-07-24,0.17894989995262095
2006-07-25,0.1789327245373827
2006-07-26,0.1789567823459596
2006-07-27,0.1789425571901912
2006-07-28,0.17891016153038822
2006-07-31,0.17890880417030858
2006-08-01,0.17891694062196054
2006-08-02,0.1789149116694757
2006-08-03,0.17891176306048132
2006-08-04,0.1789053131071264
2006-08-07,0.17890755377687007
2006-08-08,0.17888133086148927
2006-08-09,0.17888884387460616
2006-08-10,0.1788818202005484
2006-08-11,0.17889516073075312
2006-08-14,0.17890168914248006
2006-08-15,0.1788660977506738
2006-08-16,0.17879787844313222
2006-08-17,0.17877153525185024
2006-08-18,0.17875309706360196
2006-08-21,0.17870907159918892
2006-08-22,0.178697528053053
2006-08-23,0.1786753745699808
2006-08-24,0.17871066943401986
2006-08-25,0.1787534929582832
2006-08-28,0.17872329153901426
2006-08-29,0.17870646085604153
2006-08-30,0.1787250683694853
2006-08-31,0.17871108542127243
2006-09-01,0.17872314131396344
2006-09-05,0.17873783971182183
2006-09-06,0.17872851313176757
2006-09-07,0.17871275342526807
2006-09-08,0.17870531397569292
2006-09-11,0.17870054869247212
2006-09-12,0.17868590954369185
2006-09-13,0.17867318508328958
2006-09-14,0.17868800480230632
2006-09-15,0.17868913154995456
