Date,Open,High,Low,Close,Adj Close,Volume
1/3/2006,10718.29981,10862.78027,10684.4502,10847.41016,10847.41016,302950000
1/4/2006,10843.96973,10892.63965,10833.90039,10880.15039,10880.15039,271490000
1/5/2006,10880.38965,10908.25,10843.65039,10882.15039,10882.15039,250910000
1/6/2006,10875.4502,10968.83984,10875.4502,10959.30957,10959.30957,291740000
1/9/2006,10959.46973,11020.15039,10944.42969,11011.90039,11011.90039,248240000
1/10/2006,11010.45996,11013.98047,10949.87012,11011.58008,11011.58008,264270000
1/11/2006,11011.66016,11047.75977,10991.96973,11043.44043,11043.44043,266260000
1/12/2006,11043.44043,11045.83984,10951.23047,10962.36035,10962.36035,296400000
1/13/2006,10961.48047,10992.69043,10921.53027,10959.87012,10959.87012,209940000
1/17/2006,10957.87012,10957.87012,10875.59961,10896.32031,10896.32031,251470000
1/18/2006,10890.08008,10890.08008,10817.32031,10854.86035,10854.86035,361540000
1/19/2006,10855.17969,10915.9502,10852.12988,10880.70996,10880.70996,370960000
1/20/2006,10880.70996,10880.70996,10661.15039,10667.38965,10667.38965,519090000
1/23/2006,10668.75,10737.04004,10666.34961,10688.76953,10688.76953,366090000
1/24/2006,10690.20996,10750.30957,10686.04004,10712.21973,10712.21973,375980000
1/25/2006,10713.25977,10760.57031,10672.59961,10709.74023,10709.74023,412460000
1/26/2006,10711.01953,10827.95996,10710.94043,10809.46973,10809.46973,400550000
1/27/2006,10815.32031,10932.33984,10804.75,10907.20996,10907.20996,398810000
1/30/2006,10908.49023,10930.5,10887.44043,10899.91992,10899.91992,323690000
1/31/2006,10900.40039,10923.4502,10862.13965,10864.86035,10864.86035,369370000
2/1/2006,10862.13965,10967.57031,10852.82031,10953.9502,10953.9502,333580000
2/2/2006,10950.11035,10950.11035,10827.16016,10851.98047,10851.98047,314190000
2/3/2006,10849.57031,10863.58008,10779.05957,10793.62012,10793.62012,346600000
2/6/2006,10793.29981,10814.50977,10770.96973,10798.26953,10798.26953,263190000
2/7/2006,10796.41992,10822.75977,10737.66992,10749.75977,10749.75977,351880000
2/8/2006,10742.16016,10865.41992,10740.62988,10858.62012,10858.62012,330080000
2/9/2006,10859.41992,10952.26953,10855.74023,10883.34961,10883.34961,314190000
2/10/2006,10883.50977,10944.99023,10820.2002,10919.04981,10919.04981,303570000
2/13/2006,10915.20996,10939.86035,10849.88965,10892.32031,10892.32031,244330000
2/14/2006,10890.71973,11047.67969,10890.71973,11028.38965,11028.38965,307060000
2/15/2006,11025.66992,11068.74023,10989.71973,11058.96973,11058.96973,298850000
2/16/2006,11059.04981,11120.75977,11046.40039,11120.67969,11120.67969,302980000
2/17/2006,11119.55957,11131.9502,11077.7002,11115.32031,11115.32031,329160000
2/21/2006,11115.48047,11140.76953,11050.80957,11069.05957,11069.05957,270410000
2/22/2006,11065.29004,11159.17969,11060.33008,11137.16992,11137.16992,337280000
2/23/2006,11133.51953,11135.88965,11052.73047,11069.21973,11069.21973,270410000
2/24/2006,11065.76953,11085.54004,11010.21973,11061.84961,11061.84961,247270000
2/27/2006,11062.80957,11132.61035,11061.73047,11097.54981,11097.54981,268610000
2/28/2006,11096.75,11100.19043,10978.61035,10993.41016,10993.41016,325450000
3/1/2006,10993.25,11069.37988,10991.96973,11053.53027,11053.53027,270620000
3/2/2006,11052.57031,11052.57031,10986.04981,11025.50977,11025.50977,274280000
3/3/2006,11024.23047,11106.67969,10984.61035,11021.58984,11021.58984,365750000
3/6/2006,11022.46973,11037.12012,10929.21973,10958.58984,10958.58984,292510000
3/7/2006,10957.30957,10989.00977,10928.74023,10980.69043,10980.69043,284770000
3/8/2006,10977.08008,11026.70996,10922.73047,11005.74023,11005.74023,276610000
3/9/2006,11005.66016,11049.12012,10963.87988,10972.28027,10972.28027,266390000
3/10/2006,10972.91992,11098.99023,10972.91992,11076.33984,11076.33984,257440000
3/13/2006,11067.61035,11116.67969,11056.33008,11076.01953,11076.01953,251020000
3/14/2006,11076.01953,11161.34961,11058.65039,11151.33984,11151.33984,251560000
3/15/2006,11149.75977,11226.74023,11138.92969,11209.76953,11209.76953,274740000
3/16/2006,11210.96973,11282.4502,11210.57031,11253.24023,11253.24023,306150000
3/17/2006,11254.12012,11290.07031,11254.12012,11279.65039,11279.65039,480830000
3/20/2006,11278.92969,11308.38965,11259.79981,11274.53027,11274.53027,247410000
3/21/2006,11275.88965,11334.95996,11221.54004,11235.46973,11235.46973,331800000
3/22/2006,11234.50977,11328.79981,11226.41992,11317.42969,11317.42969,342980000
3/23/2006,11317.34961,11327.2002,11237.15039,11270.29004,11270.29004,292420000
3/24/2006,11270.61035,11316.08984,11244.03027,11279.96973,11279.96973,240800000
3/27/2006,11280.12988,11280.4502,11229.86035,11250.11035,11250.11035,226240000
3/28/2006,11250.11035,11281.76953,11145.01953,11154.54004,11154.54004,272490000
3/29/2006,11154.94043,11244.34961,11154.94043,11215.7002,11215.7002,279470000
3/30/2006,11216.33984,11259.16016,11117.63965,11150.7002,11150.7002,276900000
3/31/2006,11151.33984,11191.36035,11105.65039,11109.32031,11109.32031,317000000
4/3/2006,11113,11247.87012,11113,11144.94043,11144.94043,278440000
4/4/2006,11142.54004,11226.98047,11123.57031,11203.84961,11203.84961,246950000
4/5/2006,11203.20996,11250.99023,11169.34961,11239.54981,11239.54981,250190000
4/6/2006,11233.00977,11246.91016,11167.03027,11216.5,11216.5,240370000
4/7/2006,11217.13965,11269.29981,11108.01953,11120.04004,11120.04004,256290000
4/10/2006,11119.87988,11185.54004,11117.08008,11141.33008,11141.33008,207380000
4/11/2006,11141.33008,11186.63965,11053.16992,11089.62988,11089.62988,266080000
4/12/2006,11089.46973,11144.13965,11087.46973,11129.96973,11129.96973,212590000
4/13/2006,11130.12988,11178.40039,11105.79981,11137.65039,11137.65039,230870000
4/17/2006,11137.33008,11159.99023,11039.12012,11073.78027,11073.78027,239730000
4/18/2006,11074.58008,11280.4502,11074.58008,11268.76953,11268.76953,309660000
4/19/2006,11265.40039,11302.9502,11236.19043,11278.76953,11278.76953,292280000
4/20/2006,11278.53027,11384.11035,11275.04981,11342.88965,11342.88965,336420000
4/21/2006,11343.4502,11405.87988,11316.79004,11347.4502,11347.4502,325090000
4/24/2006,11346.80957,11359.7002,11305.83008,11336.32031,11336.32031,232000000
4/25/2006,11336.55957,11355.37012,11260.83984,11283.25,11283.25,289230000
4/26/2006,11283.25,11379.87012,11282.76953,11354.49023,11354.49023,270270000
4/27/2006,11349.53027,11416.92969,11275.29981,11382.50977,11382.50977,361740000
4/28/2006,11358.33008,11417.66016,11347.20996,11367.13965,11367.13965,738440000
5/1/2006,11367.78027,11428.37012,11329.44043,11343.29004,11343.29004,365970000
5/2/2006,11345.20996,11427.65039,11345.12988,11416.4502,11416.4502,335420000
5/3/2006,11414.69043,11424.92969,11362.41992,11400.28027,11400.28027,380540000
5/4/2006,11401.79981,11463.11035,11401.79981,11438.86035,11438.86035,333940000
5/5/2006,11440.62012,11586.37988,11440.62012,11577.74023,11577.74023,338910000
5/8/2006,11576.37012,11603.58984,11561.96973,11584.54004,11584.54004,309920000
5/9/2006,11584.62012,11640.73047,11572.04981,11639.76953,11639.76953,263250000
5/10/2006,11630.48047,11670.19043,11595.17969,11642.65039,11642.65039,284530000
5/11/2006,11639.29004,11639.4502,11479.44043,11500.73047,11500.73047,322510000
5/12/2006,11500.00977,11500.00977,11374.74023,11380.99023,11380.99023,321240000
5/15/2006,11380.42969,11435.33984,11333.04004,11428.76953,11428.76953,300550000
5/16/2006,11428.20996,11460.54981,11392.66992,11419.88965,11419.88965,307170000
5/17/2006,11410.12988,11410.12988,11174.37988,11205.61035,11205.61035,399460000
5/18/2006,11206.16992,11247.38965,11127.08984,11128.29004,11128.29004,338300000
5/19/2006,11124.37012,11180.29004,11075.21973,11144.05957,11144.05957,485500000
5/22/2006,11143.41992,11175.34961,11040.07031,11125.33008,11125.33008,340590000
5/23/2006,11126.29004,11202.65039,11097.30957,11098.34961,11098.34961,315860000
5/24/2006,11100.11035,11168.24023,11030.46973,11117.32031,11117.32031,466330000
5/25/2006,11114.95996,11214.98047,11114.95996,11211.04981,11211.04981,295350000
5/26/2006,11211.69043,11283.49023,11211.54004,11278.61035,11278.61035,240330000
5/30/2006,11277.25,11278.12988,11094.34961,11094.42969,11094.42969,261260000
5/31/2006,11091.15039,11183.04004,11085.37988,11168.30957,11168.30957,353660000
6/1/2006,11169.03027,11270.20996,11150.07031,11260.28027,11260.28027,295150000
6/2/2006,11260.51953,11285.82031,11191.53027,11247.87012,11247.87012,268640000
6/5/2006,11247.54981,11248.79004,11040.24023,11048.71973,11048.71973,254990000
6/6/2006,11048.24023,11094.25977,10926.41992,11002.13965,11002.13965,385870000
6/7/2006,11002.05957,11077.37988,10928.33984,10930.90039,10930.90039,333490000
6/8/2006,10929.7002,10964.67969,10757.54981,10938.82031,10938.82031,442150000
6/9/2006,10939.13965,10976.2002,10871.58984,10891.91992,10891.91992,272930000
6/12/2006,10892,10927.12012,10790.25977,10792.58008,10792.58008,272490000
6/13/2006,10783.13965,10862.29981,10700.92969,10706.13965,10706.13965,399220000
6/14/2006,10706.78027,10817,10698.84961,10816.91992,10816.91992,355620000
6/15/2006,10817.48047,11036.48047,10817.48047,11015.19043,11015.19043,358870000
6/16/2006,11014.37988,11045.2002,10984.12988,11014.54981,11014.54981,451930000
6/19/2006,11014.87012,11057.61035,10907.29004,10942.11035,10942.11035,377040000
6/20/2006,10942.03027,11029.83008,10938.41992,10974.83984,10974.83984,274060000
6/21/2006,10975.24023,11131.73047,10971.71973,11079.45996,11079.45996,309290000
6/22/2006,11077.78027,11077.78027,10986.13965,11019.11035,11019.11035,250460000
6/23/2006,11019.19043,11074.25977,10973.40039,10989.08984,10989.08984,221940000
6/26/2006,10990.29004,11048.71973,10973.71973,11045.28027,11045.28027,202770000
6/27/2006,11048.24023,11064.08984,10920.73047,10924.74023,10924.74023,269010000
6/28/2006,10925.29981,10981.25,10902.48047,10973.55957,10973.55957,260240000
6/29/2006,10974.36035,11195.54004,10974.36035,11190.79981,11190.79981,337830000
6/30/2006,11190.79981,11235.62988,11150.05957,11150.21973,11150.21973,365670000
7/3/2006,11149.33984,11231.29981,11149.33984,11228.01953,11228.01953,134790000
7/5/2006,11225.05957,11225.05957,11123.32031,11151.82031,11151.82031,248320000
7/6/2006,11147.12012,11257.08008,11147.12012,11225.29981,11225.29981,224520000
7/7/2006,11224.17969,11224.17969,11066.00977,11090.66992,11090.66992,253730000
7/10/2006,11091.70996,11174.46973,11090.04004,11103.54981,11103.54981,207740000
7/11/2006,11102.58984,11151.17969,11027.99023,11134.76953,11134.76953,298130000
7/12/2006,11133.96973,11149.95996,10995.96973,11013.17969,11013.17969,266320000
7/13/2006,11012.62012,11012.62012,10832.92969,10846.29004,10846.29004,328780000
7/14/2006,10846.53027,10848.37012,10701.33984,10739.34961,10739.34961,312080000
7/17/2006,10739.34961,10802.66992,10714.70996,10747.36035,10747.36035,251640000
7/18/2006,10745.83984,10813.79004,10683.32031,10799.23047,10799.23047,288860000
7/19/2006,10797.38965,11038.48047,10797.38965,11011.41992,11011.41992,343400000
7/20/2006,11007.25977,11037.28027,10924.98047,10928.09961,10928.09961,336300000
7/21/2006,10937.94043,10951.76953,10838.84961,10868.37988,10868.37988,433240000
7/24/2006,10868.7002,11065.9502,10868.62012,11051.04981,11051.04981,269370000
7/25/2006,11051.04981,11133.80957,10999.90039,11103.70996,11103.70996,281840000
7/26/2006,11102.91016,11157.82031,11048.16016,11102.50977,11102.50977,287170000
7/27/2006,11104.19043,11187.75977,11087.54981,11100.42969,11100.42969,286530000
7/28/2006,11102.11035,11243.30957,11102.03027,11219.7002,11219.7002,269730000
7/31/2006,11218.90039,11219.05957,11178.32031,11185.67969,11185.67969,226190000
8/1/2006,11184.79981,11185.28027,11083.86035,11125.73047,11125.73047,199150000
8/2/2006,11125.57031,11229.45996,11125.25,11199.92969,11199.92969,229410000
8/3/2006,11195.28027,11269.49023,11144.45996,11242.58984,11242.58984,211890000
8/4/2006,11244.58984,11344.16992,11187.36035,11240.34961,11240.34961,210410000
8/7/2006,11239.46973,11245.9502,11190.55957,11219.37988,11219.37988,169710000
8/8/2006,11218.17969,11276.29004,11141.82031,11173.58984,11173.58984,261520000
8/9/2006,11168.46973,11250.83984,11068.57031,11076.17969,11076.17969,231270000
8/10/2006,11073.13965,11143.98047,11044.71973,11124.37012,11124.37012,211270000
8/11/2006,11121.16016,11121.16016,11042.63965,11088.03027,11088.03027,166870000
8/14/2006,11089.07031,11202.73047,11079.78027,11097.87012,11097.87012,205830000
8/15/2006,11098.03027,11234.26953,11098.03027,11230.25977,11230.25977,208750000
8/16/2006,11224.91016,11340.79981,11224.91016,11327.12012,11327.12012,219190000
8/17/2006,11327.36035,11372.41992,11298.37988,11334.95996,11334.95996,243000000
8/18/2006,11333.75977,11381.46973,11317.66992,11381.46973,11381.46973,282660000
8/21/2006,11380.66992,11380.99023,11321.99023,11345.04981,11345.04981,196220000
8/22/2006,11344.41016,11383.70996,11303.33984,11339.83984,11339.83984,213690000
8/23/2006,11337.12012,11370.82031,11264.04004,11297.90039,11297.90039,170410000
8/24/2006,11297.82031,11334.71973,11273.88965,11304.45996,11304.45996,170710000
8/25/2006,11301.21973,11317.42969,11260.28027,11284.04981,11284.04981,150200000
8/28/2006,11285.33008,11387.79004,11273.49023,11352.00977,11352.00977,180810000
8/29/2006,11352.65039,11379.54981,11299.58008,11369.94043,11369.94043,198620000
8/30/2006,11365.98047,11407.08008,11355.69043,11382.91016,11382.91016,180100000
8/31/2006,11383.46973,11405.32031,11369.78027,11381.15039,11381.15039,156960000
9/1/2006,11382.75,11476.48047,11382.75,11464.15039,11464.15039,168010000
9/5/2006,11461.83008,11488.16992,11438.05957,11469.28027,11469.28027,184960000
9/6/2006,11466.23047,11466.23047,11395.15039,11406.2002,11406.2002,190990000
9/7/2006,11405.16016,11405.24023,11323.83984,11331.44043,11331.44043,213670000
9/8/2006,11332.24023,11402.83984,11331.04004,11392.11035,11392.11035,161650000
9/11/2006,11389.87012,11421.25,11342.16992,11396.83984,11396.83984,216000000
9/12/2006,11396.83984,11512.98047,11395.70996,11498.08984,11498.08984,237300000
9/13/2006,11487.69043,11567.25,11476.16016,11543.32031,11543.32031,214190000
9/14/2006,11543.40039,11549.08008,11495.37012,11527.38965,11527.38965,203780000
